,location,size,total_sqft,bath,price
301,Singasandra,2.0,1010.0,2.0,29.5
302,Kalena Agrahara,3.0,1425.0,2.0,70.0
303,Vijayanagar,3.0,1450.0,3.0,100.0
304,Kothanur,3.0,1847.0,3.0,105.0
305,AECS Layout,2.0,1100.0,2.0,45.0
306,Kanakpura Road,1.0,525.0,1.0,26.0
307,Mallasandra,3.0,1665.0,3.0,95.0
309,JP Nagar,3.0,1850.0,3.0,150.0
310,Panathur,2.0,1438.0,2.0,100.0
311,other,3.0,1560.0,3.0,115.0
314,Malleshpalya,2.0,1140.0,2.0,46.5
317,Whitefield,2.0,1280.0,2.0,75.0
318,Munnekollal,2.0,1170.0,2.0,52.0
320,Hennur Road,2.0,1385.0,2.0,83.09
321,Electronic City,2.0,1128.0,2.0,65.0
322,Marathahalli,2.0,1200.0,2.0,128.0
323,other,4.0,1200.0,4.0,165.0
324,Rajaji Nagar,3.0,2390.0,3.0,415.0
325,Giri Nagar,4.0,2400.0,4.0,400.0
328,Kaval Byrasandra,2.0,1200.0,2.0,52.0
330,other,3.0,1645.0,3.0,95.0
331,Sarjapur  Road,2.0,1000.0,2.0,67.0
332,Haralur Road,4.0,2650.0,4.0,198.0
333,6th Phase JP Nagar,2.0,1192.0,2.0,74.0
334,Ulsoor,3.0,2135.0,3.0,215.0
336,Uttarahalli,2.0,1020.0,2.0,45.0
337,Thigalarapalya,4.0,3122.0,6.0,230.0
341,Devarachikkanahalli,2.0,1250.0,2.0,40.0
342,Kalena Agrahara,2.0,1325.0,2.0,76.0
343,7th Phase JP Nagar,3.0,1850.0,3.0,150.0
344,Kanakpura Road,1.0,525.0,2.0,21.53
345,Basaveshwara Nagar,2.0,1200.0,2.0,65.0
346,other,3.0,1350.0,2.0,140.0
347,Bommasandra,3.0,1260.0,3.0,49.36
348,other,3.0,1800.0,3.0,150.0
350,Ardendale,2.0,1100.0,2.0,43.25
351,Harlur,2.0,1508.0,2.0,77.0
353,Akshaya Nagar,2.0,1388.0,2.0,57.0
354,Electronic City Phase II,1.0,630.0,1.0,28.35
355,other,3.0,2000.0,3.0,365.0
356,other,3.0,1762.0,3.0,125.0
358,Kodihalli,4.0,3252.0,5.0,335.0
359,Magadi Road,2.0,1116.0,2.0,50.0
360,Narayanapura,2.0,1308.0,2.0,89.04
361,other,3.0,1200.0,3.0,90.0
362,other,4.0,1500.0,4.0,230.0
363,Bannerghatta Road,1.0,500.0,1.0,18.5
364,Hennur,2.0,1075.0,2.0,52.0
365,Chandapura,1.0,530.0,1.0,11.66
366,Bellandur,2.0,1205.0,2.0,66.0
367,5th Phase JP Nagar,2.0,1075.0,2.0,60.0
368,KR Puram,2.0,930.0,2.0,39.0
370,Hebbal,4.0,2483.0,5.0,212.0
371,Kodigehaali,2.0,1166.0,2.0,55.0
372,Bannerghatta Road,2.0,1050.0,2.0,65.0
373,other,3.0,2023.71,3.0,275.0
374,Begur Road,2.0,1200.0,2.0,46.8
375,Lakshminarayana Pura,3.0,1600.0,2.0,108.0
377,8th Phase JP Nagar,1.0,451.0,1.0,29.9
378,Electronic City,3.0,1800.0,3.0,95.0
380,Hegde Nagar,3.0,1801.0,3.0,115.0
381,Mahadevpura,2.0,1451.0,2.0,90.0
383,Begur Road,2.0,1160.0,2.0,44.0
387,Vijayanagar,3.0,1580.0,2.0,134.0
389,7th Phase JP Nagar,2.0,1245.0,2.0,94.0
390,Raja Rajeshwari Nagar,2.0,1145.0,2.0,45.79
391,Sompura,2.0,825.0,2.0,33.0
392,Yeshwanthpur,3.0,1693.0,3.0,108.0
395,Doddathoguru,2.0,1050.0,2.0,32.0
396,Dodda Nekkundi,2.0,1260.0,2.0,55.0
398,Hosur Road,2.0,1656.0,2.0,120.0
399,Chandapura,3.0,1208.0,3.0,45.0
400,Whitefield,3.0,1910.0,3.0,161.0
401,Whitefield,4.0,3252.0,4.0,230.0
402,Battarahalli,2.0,1200.0,2.0,65.0
403,other,4.0,1200.0,4.0,175.0
404,7th Phase JP Nagar,2.0,1175.0,2.0,82.0
405,other,2.0,1000.0,2.0,165.0
406,Bannerghatta Road,4.0,1200.0,2.0,125.0
407,Rajaji Nagar,3.0,2390.0,3.0,410.0
412,Kengeri,2.0,750.0,2.0,38.0
416,Billekahalli,2.0,1125.0,2.0,62.0
417,Nagarbhavi,3.0,1350.0,3.0,150.0
418,Anandapura,2.0,1000.0,2.0,55.0
419,Bommasandra Industrial Area,2.0,1090.0,2.0,31.48
420,TC Palaya,2.0,1200.0,2.0,60.0
421,Budigere,3.0,1991.0,4.0,103.0
422,Bommasandra,2.0,1060.0,2.0,26.5
423,Ambalipura,2.0,1105.0,2.0,75.0
424,Hoodi,2.0,985.0,2.0,67.0
427,CV Raman Nagar,2.0,1120.0,2.0,55.0
429,Marathahalli,3.0,1933.0,3.0,140.0
430,Hosur Road,2.0,1194.0,2.0,69.0
431,Brookefield,2.0,1150.0,2.0,69.0
432,Yelenahalli,2.0,1240.0,2.0,47.12
433,Raja Rajeshwari Nagar,2.0,1419.0,2.0,48.1
435,other,3.0,2150.0,4.0,240.0
438,Dasanapura,2.0,708.0,1.0,40.0
439,Kasavanhalli,3.0,1000.0,4.0,110.0
441,Bellandur,2.0,1250.0,2.0,76.0
442,7th Phase JP Nagar,3.0,1400.0,2.0,95.0
444,Ardendale,3.0,1750.0,3.0,100.0
445,Vittasandra,2.0,1404.0,2.0,71.0
447,Electronic City,1.0,630.0,1.0,34.65
448,Harlur,3.0,1752.12,3.0,135.0
450,Raja Rajeshwari Nagar,2.0,1295.0,2.0,55.47
451,Giri Nagar,3.0,1800.0,3.0,252.0
452,Sarjapur  Road,2.0,1346.0,2.0,74.03
453,other,4.0,1200.0,4.0,200.0
454,Hormavu,2.0,1150.0,2.0,55.0
455,other,4.0,3309.0,4.0,325.0
457,AECS Layout,3.0,1620.0,3.0,98.0
458,Marathahalli,2.0,950.0,2.0,46.96
459,other,11.0,5000.0,9.0,360.0
463,Padmanabhanagar,2.0,1020.0,2.0,63.0
464,Chikkalasandra,2.0,1100.0,2.0,50.0
465,other,2.0,1150.0,2.0,126.0
466,Hebbal,3.0,1760.0,2.0,130.0
467,Ambalipura,3.0,1800.0,3.0,110.0
468,Akshaya Nagar,2.0,1070.0,2.0,54.0
469,2nd Stage Nagarbhavi,4.0,1500.0,4.0,220.0
470,Vidyaranyapura,2.0,1440.0,2.0,95.0
471,Amruthahalli,2.0,900.0,2.0,40.0
472,other,4.0,1200.0,4.0,230.0
474,Koramangala,2.0,1320.0,2.0,165.0
475,Kodigehalli,2.0,1270.0,2.0,98.0
479,Subramanyapura,2.0,929.0,2.0,50.17
485,7th Phase JP Nagar,4.0,3600.0,4.0,400.0
487,Chikkalasandra,2.0,1208.0,2.0,49.0
488,Hebbal Kempapura,2.0,1130.0,2.0,60.0
489,other,3.0,1753.0,3.0,120.0
490,Old Madras Road,5.0,4500.0,7.0,337.0
492,Hoodi,2.0,1196.0,2.0,94.42
493,5th Phase JP Nagar,2.0,1150.0,3.0,52.5
494,Electronic City,2.0,1128.0,2.0,63.0
497,Kereguddadahalli,2.0,950.0,2.0,32.0
501,Lingadheeranahalli,3.0,1511.0,3.0,95.0
504,Shampura,1.0,375.0,2.0,26.0
505,Vidyaranyapura,2.0,1062.0,2.0,38.0
507,JP Nagar,2.0,1000.0,2.0,35.0
508,Kambipura,2.0,883.0,2.0,45.0
509,Sarjapur  Road,2.0,1195.0,2.0,70.0
510,other,4.0,1200.0,3.0,165.0
511,other,1.0,700.0,1.0,41.0
512,Vittasandra,2.0,1246.0,2.0,67.0
517,Begur Road,3.0,1584.0,3.0,65.0
520,other,3.0,1595.0,3.0,115.0
521,other,2.0,1353.0,2.0,110.0
522,Electronic City,3.0,1599.0,3.0,125.0
523,Whitefield,2.0,1150.0,2.0,70.0
525,KR Puram,2.0,1155.0,2.0,42.74
526,other,1.0,1200.0,2.0,85.0
527,Electronic City Phase II,2.0,1000.0,2.0,25.0
529,Rajiv Nagar,3.0,1867.0,3.0,160.0
530,Ramagondanahalli,2.0,1251.0,2.0,47.0
532,Arekere,2.0,1222.0,2.0,45.0
533,Bannerghatta Road,3.0,1170.0,2.0,66.0
534,Hebbal,3.0,2400.0,4.0,245.0
536,HSR Layout,2.0,1372.0,2.0,68.0
538,Mico Layout,9.0,5000.0,9.0,210.0
539,other,5.0,3000.0,3.0,528.0
541,Whitefield,3.0,1768.0,3.0,101.0
542,other,3.0,1325.0,2.0,90.0
543,Electronic City,3.0,1599.0,3.0,99.0
545,other,3.0,2610.0,3.0,499.0
546,Uttarahalli,2.0,1286.0,2.0,63.0
547,Kammanahalli,5.0,2845.0,5.0,140.0
549,Hennur Road,2.0,1317.5,2.0,63.77
550,Hebbal,3.0,3450.0,5.0,260.0
551,Munnekollal,2.0,1102.0,2.0,53.67
556,Chikkabanavar,2.0,950.0,2.0,40.0
557,Kanakpura Road,1.0,525.0,1.0,27.25
558,Attibele,2.0,656.0,2.0,25.0
559,Marathahalli,4.0,1780.0,4.0,175.0
561,Bannerghatta Road,1.0,595.0,1.0,33.32
563,7th Phase JP Nagar,3.0,2225.0,3.0,160.0
564,Bommasandra,2.0,1126.0,2.0,28.15
565,Electronics City Phase 1,3.0,1490.0,3.0,84.0
566,HRBR Layout,4.0,2000.0,4.0,300.0
567,Sarjapur  Road,3.0,1550.0,3.0,100.0
568,Whitefield,3.0,1600.0,3.0,86.0
570,Whitefield,4.0,4144.0,4.0,315.0
571,Sarjapur  Road,3.0,2100.0,3.0,125.0
572,Vittasandra,2.0,1404.0,2.0,69.3
573,Sarjapur  Road,4.0,2230.0,4.0,225.0
574,other,3.0,1544.0,3.0,120.0
575,Banashankari Stage III,3.0,1305.0,2.0,58.7
576,Marathahalli,2.0,1230.0,2.0,80.0
580,Gottigere,2.0,967.0,2.0,45.0
581,other,1.0,540.0,1.0,36.0
582,Hormavu,1.0,715.0,1.0,46.0
583,Whitefield,3.0,2500.0,3.0,313.0
584,other,3.0,1578.0,3.0,180.0
585,Mysore Road,2.0,1020.0,2.0,48.95
586,Jigani,2.0,1020.0,2.0,40.0
587,Koramangala,2.0,1253.0,2.0,102.0
589,Nehru Nagar,2.0,961.0,2.0,38.0
590,Kanakapura,3.0,1419.0,3.0,75.0
591,Harlur,3.0,1709.0,3.0,150.0
593,other,1.0,416.0,1.0,18.5
594,Sanjay nagar,2.0,1100.0,2.0,98.0
599,Kalena Agrahara,3.0,1450.0,2.0,85.0
600,Konanakunte,3.0,2791.0,3.0,223.0
601,other,1.0,600.0,1.0,90.0
602,other,1.0,834.0,1.0,60.0
603,other,3.0,1125.0,4.0,70.0
604,Arekere,3.0,2060.0,3.0,140.0
606,Gottigere,2.0,891.0,2.0,25.0
607,Raja Rajeshwari Nagar,2.0,1133.0,2.0,49.07
609,other,4.0,3000.0,5.0,260.0
610,Brookefield,4.0,2440.0,5.0,425.0
611,Vidyaranyapura,2.0,1200.0,2.0,55.0
613,Kaggadasapura,2.0,1140.0,2.0,40.0
616,Raja Rajeshwari Nagar,2.0,1090.0,2.0,42.0
618,Whitefield,4.0,4104.0,4.0,360.0
619,Whitefield,3.0,1790.0,3.0,100.0
620,Hebbal,3.0,1920.0,3.0,134.0
621,HRBR Layout,2.0,1374.0,2.0,95.0
622,Bannerghatta Road,3.0,1445.0,3.0,95.0
623,Kanakapura,1.0,711.0,1.0,36.0
624,Tumkur Road,3.0,1500.0,3.0,95.0
625,Whitefield,3.0,1720.0,3.0,100.0
626,Vasanthapura,3.0,1400.0,3.0,60.0
627,Kundalahalli,2.0,1030.0,2.0,49.0
628,Mysore Road,2.0,1200.0,2.0,85.0
630,Hegde Nagar,2.0,1050.0,1.0,56.0
631,Jalahalli,3.0,2250.0,3.0,160.0
632,Bellandur,2.0,1000.0,2.0,50.0
633,other,1.0,469.0,1.0,25.0
634,Marathahalli,4.0,3800.0,4.0,250.0
635,Kambipura,2.0,883.0,2.0,29.0
636,GM Palaya,3.0,1820.0,2.0,86.0
637,Singasandra,3.0,1440.0,2.0,65.0
639,Malleshwaram,4.0,2500.0,5.0,325.0
640,Mahadevpura,2.0,1225.0,2.0,48.0
642,Chikkalasandra,2.0,875.0,2.0,52.8
643,Jalahalli East,1.0,750.0,1.0,40.0
644,6th Phase JP Nagar,2.0,1180.0,2.0,80.0
645,Haralur Road,2.0,1194.0,2.0,47.0
649,Hosakerehalli,3.0,2378.0,3.0,262.0
650,Sarjapur,2.0,1128.0,2.0,60.0
651,Hebbal,3.0,1500.0,3.0,150.0
655,Bommasandra,3.0,1200.0,3.0,46.0
656,Haralur Road,4.0,3385.0,5.0,260.0
658,Horamavu Agara,2.0,1200.0,2.0,45.0
659,Raja Rajeshwari Nagar,2.0,1260.0,2.0,67.39
664,Bisuvanahalli,3.0,1075.0,2.0,45.0
665,Thanisandra,3.0,1702.0,3.0,130.0
666,other,2.0,1630.0,2.0,200.0
667,Raja Rajeshwari Nagar,2.0,1141.0,2.0,38.55
670,other,3.0,1200.0,2.0,70.0
671,other,3.0,1350.0,3.0,77.0
672,other,4.0,4046.0,4.0,445.0
673,other,3.0,1180.0,2.0,78.34
675,other,2.0,1355.0,2.0,115.0
676,other,1.0,600.0,1.0,50.0
678,Bannerghatta Road,3.0,1640.0,2.0,120.0
680,Kodichikkanahalli,3.0,1190.0,2.0,57.0
681,OMBR Layout,4.0,2400.0,4.0,375.0
682,Marathahalli,2.0,1019.0,2.0,49.85
683,other,3.0,1875.0,3.0,165.0
685,Brookefield,3.0,1200.0,3.0,140.0
687,Lingadheeranahalli,3.0,1683.0,3.0,109.0
688,Kaggadasapura,3.0,1515.0,3.0,83.3
691,Varthur Road,2.0,1083.0,2.0,61.75
692,other,2.0,600.0,2.0,55.0
695,other,3.0,1750.0,3.0,120.0
697,Anjanapura,3.0,1500.0,3.0,139.0
698,Abbigere,2.0,985.0,2.0,40.39
699,Tindlu,3.0,1500.0,2.0,87.0
702,JP Nagar,5.0,5600.0,2.0,548.5
704,other,3.0,1092.0,2.0,98.5
705,Electronic City Phase II,2.0,1090.0,2.0,28.34
706,Hennur Road,3.0,2264.0,3.0,159.0
708,Kammasandra,2.0,810.0,2.0,24.5
710,Hebbal,2.0,1337.0,2.0,82.0
711,Chandapura,2.0,1200.0,2.0,32.0
712,Koramangala,3.0,1580.0,3.0,160.0
714,Whitefield,3.0,1640.0,4.0,91.0
716,Gubbalala,3.0,1470.0,2.0,82.0
718,7th Phase JP Nagar,2.0,1050.0,2.0,71.0
719,other,3.0,1855.0,3.0,225.0
720,Bannerghatta Road,3.0,1460.0,2.0,90.0
721,Hulimavu,3.0,1823.0,3.0,100.0
725,Parappana Agrahara,4.0,1200.0,3.0,85.0
726,Jakkur,3.0,1590.0,2.0,125.0
728,Raja Rajeshwari Nagar,4.0,1200.0,4.0,220.0
730,Haralur Road,2.0,1202.0,2.0,53.0
732,Panathur,3.0,1688.0,3.0,118.0
733,Kaval Byrasandra,2.0,1020.0,2.0,52.0
734,Sarjapur,2.0,1185.0,2.0,47.0
735,Ramagondanahalli,2.0,1235.0,2.0,52.04
736,Hosakerehalli,4.0,3205.0,5.0,500.0
737,Banashankari,2.0,1077.0,2.0,37.64
738,Kengeri Satellite Town,3.0,1415.0,2.0,66.0
739,EPIP Zone,3.0,2330.0,3.0,162.0
741,other,1.0,425.0,1.0,20.03
744,Anekal,2.0,656.0,2.0,22.0
746,Mahadevpura,2.0,1150.0,2.0,52.0
747,other,1.0,600.0,1.0,60.0
748,other,2.0,1468.0,2.0,140.0
749,other,4.0,4300.0,5.0,550.0
750,Whitefield,3.0,2280.0,4.0,126.0
751,Hegde Nagar,2.0,1341.0,2.0,97.0
752,Jakkur,2.0,1279.0,2.0,77.0
753,Electronic City Phase II,4.0,2225.0,4.0,98.88
756,Kudlu,2.0,1152.0,2.0,53.5
758,Hulimavu,2.0,1300.0,2.0,36.0
759,Varthur Road,4.0,2760.0,4.0,155.0
760,5th Phase JP Nagar,2.0,1070.0,2.0,39.0
761,Uttarahalli,2.0,1101.0,2.0,45.0
763,Yeshwanthpur,1.0,667.0,1.0,36.85
764,Electronic City,2.0,1070.0,2.0,55.0
766,Kundalahalli,2.0,735.0,2.0,57.99
769,Marathahalli,2.0,1215.0,2.0,67.0
771,Vishwapriya Layout,2.0,820.0,2.0,30.0
772,Banashankari Stage VI,2.0,1177.5,2.0,59.935
773,Battarahalli,3.0,1779.0,3.0,89.61
777,Jalahalli,2.0,1694.0,2.0,150.0
778,Hosakerehalli,3.0,2376.0,3.0,203.0
780,Kammasandra,2.0,674.0,2.0,33.0
781,Kaggadasapura,2.0,1185.0,2.0,41.0
782,Thanisandra,1.0,445.0,1.0,28.0
784,HSR Layout,3.0,1475.0,3.0,75.0
785,Gottigere,3.0,1618.0,3.0,82.5
786,Koramangala,2.0,1120.0,2.0,65.0
787,Marathahalli,4.0,2181.0,3.0,152.0
788,Vidyaranyapura,4.0,1200.0,4.0,90.0
791,Bannerghatta Road,2.0,1179.0,2.0,66.02
792,Thanisandra,2.0,1296.0,2.0,83.0
793,Kaggadasapura,2.0,1275.0,2.0,52.0
795,Kathriguppe,3.0,1400.0,2.0,77.0
796,Gottigere,2.0,1222.0,2.0,63.0
799,Tumkur Road,3.0,1779.0,3.0,112.0
801,JP Nagar,4.0,4624.5,2.0,453.0
802,Haralur Road,2.0,1056.0,2.0,61.0
803,7th Phase JP Nagar,2.0,1100.0,2.0,46.0
804,Arekere,2.0,920.0,2.0,40.0
806,Padmanabhanagar,2.0,1176.0,2.0,62.0
808,other,3.0,1352.0,3.0,135.0
809,Kasavanhalli,3.0,1717.0,3.0,99.0
812,Vittasandra,2.0,1246.0,2.0,67.3
813,Anandapura,2.0,1141.0,2.0,42.79
814,Hennur Road,2.0,1157.0,2.0,84.0
815,Chandapura,2.0,1025.0,2.0,27.68
816,Yelahanka New Town,1.0,650.0,1.0,33.0
817,Hebbal,2.0,1349.0,2.0,98.0
822,Varthur,2.0,1091.0,2.0,34.9
823,Rachenahalli,4.0,3670.0,4.0,300.0
824,7th Phase JP Nagar,2.0,918.0,2.0,50.49
825,Yeshwanthpur,4.0,1950.0,4.0,130.0
827,Yelahanka,3.0,1705.0,3.0,95.0
828,Kalyan nagar,3.0,1375.0,3.0,75.0
829,Kanakpura Road,1.0,525.0,1.0,30.0
830,Whitefield,2.0,1447.0,2.0,83.0
832,7th Phase JP Nagar,3.0,1450.0,2.0,100.0
834,Vasanthapura,2.0,1022.0,2.0,40.0
835,Hebbal,2.0,1000.0,2.0,45.0
